mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
0.02464594841003418,0.004619583085363164,3.7074917793273925,0.07822509063442104,29,2,distance,"OrderedDict([('n_neighbors', 29), ('p', 2), ('weights', 'distance')])",0.8444878529218647,0.8367605018518207,0.8437568855410494,0.8452201894130191,0.8362104172060101,0.841287169386753,0.003951623746720483,1,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.022511959075927734,0.0018115099996954564,19.232691287994385,0.08728995629247534,29,1,distance,"OrderedDict([('n_neighbors', 29), ('p', 1), ('weights', 'distance')])",0.8464888715684968,0.8343268080983012,0.8444699376693047,0.8408051864373649,0.8382993272429888,0.8408780262032913,0.004334901759219981,2,0.9984190542948099,0.998219765659375,0.9981211659684771,0.9979227436545482,0.9980213507844745,0.9981408160723368,0.000170800003936981,15
0.018126201629638673,0.0015341634071670295,3.099405813217163,0.13331184869399354,23,2,distance,"OrderedDict([('n_neighbors', 23), ('p', 2), ('weights', 'distance')])",0.8462282635799508,0.8370610220978468,0.8440731397416669,0.8421059304647611,0.8337864395676384,0.8406509590903728,0.004581350529443389,3,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.018030643463134766,0.002840156445594113,3.8170589447021483,0.02488876648445694,27,2,distance,"OrderedDict([('n_neighbors', 27), ('p', 2), ('weights', 'distance')])",0.8440756937420718,0.835861154660047,0.8432393062643496,0.8430360499074007,0.836569344473453,0.8405563098094644,0.003568585676791087,4,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.020678377151489256,0.004589046971532469,3.137402963638306,0.020119916530268827,25,2,distance,"OrderedDict([('n_neighbors', 25), ('p', 2), ('weights', 'distance')])",0.8442801008249801,0.8359483650451134,0.8433412869260902,0.8430360499074007,0.8355516559640285,0.8404314917335226,0.0038463916941521977,5,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.024665451049804686,0.0040866570585027994,19.441601181030272,0.05193820704268965,25,1,distance,"OrderedDict([('n_neighbors', 25), ('p', 1), ('weights', 'distance')])",0.8466665891594628,0.8320792004518254,0.8445738733504426,0.8412191622525778,0.8361285091707509,0.8401334668770118,0.005375658559322639,6,0.9984190542948099,0.998219765659375,0.9981211659684771,0.9979227436545482,0.9980213507844745,0.9981408160723368,0.000170800003936981,15
0.018701744079589844,0.0017253225300783797,3.0603810787200927,0.08133356996632582,21,2,distance,"OrderedDict([('n_neighbors', 21), ('p', 2), ('weights', 'distance')])",0.8427461964129308,0.8382010887653646,0.843143292649172,0.8412770902047337,0.834373086784282,0.8399481509632967,0.003284437095212614,7,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.04572572708129883,0.00953171655697264,28.90324535369873,0.11977029440907487,23,1,distance,"OrderedDict([('n_neighbors', 23), ('p', 1), ('weights', 'distance')])",0.8449563383577904,0.8333686940122584,0.84284983285336,0.8409154063352868,0.8342251191278167,0.8392630781373025,0.004650440946835798,8,0.9984190542948099,0.998219765659375,0.9981211659684771,0.9979227436545482,0.9980213507844745,0.9981408160723368,0.000170800003936981,15
0.01816844940185547,0.0024595558849536776,3.0587944984436035,0.05719053661111195,19,2,distance,"OrderedDict([('n_neighbors', 19), ('p', 2), ('weights', 'distance')])",0.8441765823100389,0.8375109699866409,0.8417096531462189,0.8410818036038767,0.8306551389876324,0.8390268296068815,0.004697306619498568,9,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.024065256118774414,0.004887301997625791,2.7201486587524415,0.05580608629312955,17,2,distance,"OrderedDict([('n_neighbors', 17), ('p', 2), ('weights', 'distance')])",0.8431554749247246,0.8374207283712742,0.8404848290907152,0.8393366500990743,0.8339837849043374,0.8388762934780253,0.0030713521065879657,10,0.9984195485234371,0.9982203228673399,0.9981223414519736,0.9979233939651591,0.9980232081469358,0.9981417629909691,0.0001705602151017872,4
0.01545414924621582,0.0016673708144153716,19.38902268409729,0.08185076753731911,15,1,distance,"OrderedDict([('n_neighbors', 15), ('p', 1), ('weights', 'distance')])",0.8449441048155828,0.8341967004628159,0.8448603558104628,0.8370004102622817,0.8327222328913184,0.8387447608484923,0.005212117086088795,11,0.9984190542948099,0.998219765659375,0.9981211659684771,0.9979227436545482,0.9980213507844745,0.9981408160723368,0.000170800003936981,15
0.021318483352661132,0.0010857413658775653,22.398972940444946,0.05575735790128669,17,1,distance,"OrderedDict([('n_neighbors', 17), ('p', 1), ('weights', 'distance')])",0.8438470413713532,0.833700574574179,0.8435546029252369,0.8367906974189245,0.8353480270614722,0.838648188670233,0.0042407828495632524,12,0.9984190542948099,0.998219765659375,0.9981211659684771,0.9979227436545482,0.9980213507844745,0.9981408160723368,0.000170800003936981,15
