mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
0.03663568496704102,0.0011700853077796394,53.89340405464172,0.23330950589869984,1,1,uniform,"OrderedDict([('n_neighbors', 1), ('p', 1), ('weights', 'uniform')])",0.962315942920087,0.9712083336679109,0.9747027611823187,0.9727881793691082,0.9692058971240161,0.9700442228526882,0.004266509849203639,1,0.9974210018198751,0.9992512634199832,0.9994384592984551,0.999251278982023,0.9992928745941329,0.9989309756228939,0.0007581173981622563,28
0.033951091766357425,0.002722276071019871,56.22926082611084,0.15831607411129336,1,1,distance,"OrderedDict([('n_neighbors', 1), ('p', 1), ('weights', 'distance')])",0.962315942920087,0.9712083336679109,0.9747027611823187,0.9727881793691082,0.9692058971240161,0.9700442228526882,0.004266509849203639,1,0.9974210018198751,0.9992512634199832,0.9994384592984551,0.999251278982023,0.9992928745941329,0.9989309756228939,0.0007581173981622563,28
0.03543157577514648,0.003425059388349968,55.368106031417845,0.39174478459596634,3,1,distance,"OrderedDict([('n_neighbors', 3), ('p', 1), ('weights', 'distance')])",0.9601468601532699,0.9661188738483064,0.96862235764448,0.9678720534783107,0.9643689791757137,0.9654258248600162,0.0030221371368879734,3,0.999854412343566,0.9996048334930248,0.9995216504787381,0.9995216504969461,0.9995216504886697,0.9996048394601889,0.00012887811247486319,25
0.03192129135131836,0.005409524448036409,9.066904973983764,0.17793252507948956,1,2,uniform,"OrderedDict([('n_neighbors', 1), ('p', 2), ('weights', 'uniform')])",0.962804361606524,0.9659535663525143,0.9687865954662653,0.965203808657819,0.9642021706480572,0.9653901005462359,0.001999279841925564,4,0.9987521041885371,0.9992512634199832,0.9994384592984551,0.999251278982023,0.9992928745941329,0.9991971960966263,0.00023294520730681982,26
0.03777809143066406,0.0025647698672605313,9.60857138633728,0.09526441060856297,1,2,distance,"OrderedDict([('n_neighbors', 1), ('p', 2), ('weights', 'distance')])",0.962804361606524,0.9659535663525143,0.9687865954662653,0.965203808657819,0.9642021706480572,0.9653901005462359,0.001999279841925564,4,0.9987521041885371,0.9992512634199832,0.9994384592984551,0.999251278982023,0.9992928745941329,0.9991971960966263,0.00023294520730681982,26
0.03279047012329102,0.002493740353428302,61.787946701049805,0.1672833996907898,5,1,distance,"OrderedDict([('n_neighbors', 5), ('p', 1), ('weights', 'distance')])",0.9570598064509769,0.962445188922422,0.9649530643089268,0.9635325749370134,0.9601956357663601,0.9616372540771397,0.002766618423041251,6,0.999854412343566,0.9996464299802903,0.9996048417285426,0.9996048417271751,0.9996256395318177,0.9996672330622782,9.485170590034405e-05,1
0.035053348541259764,0.0034437734922401226,53.762672996521,0.1347555729486866,3,1,uniform,"OrderedDict([('n_neighbors', 3), ('p', 1), ('weights', 'uniform')])",0.9561372647452961,0.9589406731600603,0.9619501241251185,0.9600371601215741,0.9551081069730523,0.9584346658250202,0.0025110365975053294,7,0.9797589766596462,0.9789259536704207,0.9791554747462095,0.9786766827371833,0.978385172806687,0.9789804521240292,0.0004661194607218804,30
0.03896574974060059,0.004425136511340899,58.91320219039917,0.14426229247009947,7,1,distance,"OrderedDict([('n_neighbors', 7), ('p', 1), ('weights', 'distance')])",0.954392264350326,0.9586896386320294,0.961532918903371,0.9601972417194778,0.9561886270262479,0.9582001381262903,0.0026031342959744056,8,0.999854412343566,0.9996464299802903,0.9996048417285426,0.9996048417271751,0.9996256395318177,0.9996672330622782,9.485170590034405e-05,1
0.03840618133544922,0.001864553026954474,9.518924713134766,0.15748973567245328,3,2,distance,"OrderedDict([('n_neighbors', 3), ('p', 2), ('weights', 'distance')])",0.9567949389302607,0.9574355762214586,0.9604468522667037,0.9591933946536793,0.9560205335079828,0.9579782591160171,0.0016185145943688338,9,0.999854412343566,0.9996048335039647,0.9995216505085329,0.9995216505035671,0.9995216505085329,0.9996048394736328,0.00012887810520929247,24
0.037386846542358396,0.004399704646798568,58.8855339050293,0.33460155565154737,9,1,distance,"OrderedDict([('n_neighbors', 9), ('p', 1), ('weights', 'distance')])",0.9518904356762143,0.9560187423111821,0.9592806668183781,0.9571951557476999,0.9536014626675369,0.9555972926442022,0.00260853052514931,10,0.999854412343566,0.9996464299802903,0.9996048417285426,0.9996048417271751,0.9996256395318177,0.9996672330622782,9.485170590034405e-05,1
0.03983464241027832,0.002041257429117667,53.8092857837677,0.25484275818012064,11,1,distance,"OrderedDict([('n_neighbors', 11), ('p', 1), ('weights', 'distance')])",0.9501365128260564,0.9533509307029009,0.9566119816381085,0.9554427310009137,0.9506808510508529,0.9532446014437665,0.002546187729422271,11,0.999854412343566,0.9996464299802903,0.9996048417285426,0.9996048417271751,0.9996256395318177,0.9996672330622782,9.485170590034405e-05,1
0.037954187393188475,0.0018295540012008295,9.44152898788452,0.07685104012170134,5,2,distance,"OrderedDict([('n_neighbors', 5), ('p', 2), ('weights', 'distance')])",0.9506923712231652,0.9525828156138881,0.9547655018474638,0.9540922064848545,0.9522523539483574,0.9528770498235458,0.0014347470893320588,12,0.999854412343566,0.9996464299821257,0.9996048417203381,0.9996048417203381,0.9996256395221019,0.9996672330576939,9.485170865071141e-05,13
