mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
74.21784501075744,1.352138511562589,0.9572751522064209,0.019918148787478877,25,sqrt,1,2,300,"OrderedDict([('max_depth', 25), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 300)])",0.9497363553291058,0.9738715938461076,0.9767007200568532,0.9772011084198233,0.9727878824597197,0.9700595320223219,0.01029674428460418,1,0.9975249944624529,0.9972546148405123,0.9967971070505464,0.9967971078762567,0.9969634934167937,0.9970674635293125,0.00028332128656750134,3
55.52615661621094,0.9537970235038536,0.9555243968963623,0.021038179736254277,25,log2,1,2,300,"OrderedDict([('max_depth', 25), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 300)])",0.9494871787860393,0.9733731963820906,0.975785896602493,0.9774510514682371,0.9722057381842956,0.9696606122846312,0.010251228378063458,2,0.9971922156338217,0.9975249964495063,0.9971922756518445,0.9970674865533917,0.997379458731628,0.9972712866040384,0.00016130672919367512,1
34.519341230392456,0.7042509359025781,0.7079564094543457,0.048285429617563415,25,log2,1,2,203,"OrderedDict([('max_depth', 25), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 203)])",0.9488201376140073,0.9733730548317157,0.975869160870664,0.9770349735826604,0.9726217462154025,0.9695438146228901,0.01048556150092445,3,0.9969426302941014,0.9975873921889173,0.9971922756518445,0.996984292522396,0.9973378628384792,0.9972088906991476,0.0002372813496986803,2
69.41081013679505,1.8779861374710933,0.8390909194946289,0.09064360211818769,24,sqrt,1,2,300,"OrderedDict([('max_depth', 24), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 300)])",0.9492409944144127,0.9732055977896188,0.9762841398882263,0.9764518894093734,0.9720386922156719,0.9694442627434606,0.010246379923031818,4,0.9962770635230422,0.9966098517936494,0.9959859618546943,0.9958611703685263,0.9960691543551152,0.9961606403790053,0.0002622631541459582,4
44.57379751205444,0.606588608581657,0.5609508991241455,0.012830013055090959,25,sqrt,1,3,177,"OrderedDict([('max_depth', 25), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 177)])",0.9484879223268377,0.9724581167694293,0.9757862184386138,0.9757867279949755,0.9727051821827458,0.9690448335425204,0.01037819506860303,5,0.9961522793068303,0.9950499904473149,0.9944261284070148,0.9945301236663614,0.9945925126336711,0.9949502068922385,0.0006378100353139439,5
31.44095959663391,0.6900127412366902,0.4077617645263672,0.008560126106514188,23,sqrt,1,3,131,"OrderedDict([('max_depth', 23), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 131)])",0.9479932573857397,0.9710422398030503,0.9757850986802123,0.9748708660572662,0.970290345932675,0.9679963615717886,0.01022337667496001,6,0.9946131180659067,0.9926788429380877,0.9924917914870538,0.9932613730621855,0.9922005758302439,0.9930491402766956,0.0008554400846885246,7
19.47678499221802,0.3303074298107202,0.3510066032409668,0.014350590441456387,22,log2,1,2,109,"OrderedDict([('max_depth', 22), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 109)])",0.9497439452973264,0.9708737158364025,0.9740363577393121,0.9742873950478635,0.9704576292609917,0.9678798086363793,0.009203026013494578,7,0.9944050980024866,0.9941139107518222,0.993822822903198,0.9940308235366702,0.9939476204545096,0.9940640551297373,0.0001957805831030267,6
68.41340079307557,1.2328920514375699,0.8539282798767089,0.03217061879035628,21,sqrt,1,2,300,"OrderedDict([('max_depth', 21), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 300)])",0.9494977859267937,0.9701242754527295,0.9742856547652012,0.9752025487024751,0.9697891750034424,0.9677798879701284,0.00939350345838142,8,0.9932610635347014,0.9931570846787124,0.9923667804916555,0.992949206337582,0.9927619981048567,0.9928992266295016,0.0003169369806162371,8
23.606223344802856,0.49594469257977797,0.30154104232788087,0.010453463500004688,19,sqrt,1,2,107,"OrderedDict([('max_depth', 19), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 107)])",0.9490035333914653,0.968040370711051,0.97287009638409,0.9716217044326316,0.9671259617806054,0.9657323333399687,0.008634284424259266,9,0.9897870052580444,0.9890590236140119,0.9877900741019887,0.9890800235610948,0.9885599107443674,0.9888552074559014,0.0006606117863011325,9
48.986055326461795,0.8979918451358179,0.8725133419036866,0.01969380153835234,18,log2,1,3,294,"OrderedDict([('max_depth', 18), ('max_features', 'log2'), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 294)])",0.9481727376244129,0.9663758066855848,0.9707061889407056,0.9697901204542145,0.9651281018008114,0.9640345911011459,0.008196484461612813,10,0.98749839027073,0.9843574579065033,0.9834630052456649,0.9835045007038634,0.9845448968395425,0.9846736501932609,0.0014783966457792945,10
