mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
1.4283412933349608,0.04540871318920756,0.007190036773681641,0.0012988870835932975,gini,29,1,2,"OrderedDict([('criterion', 'gini'), ('max_depth', 29), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.8177211085863414,0.8238375298272487,0.8293834734009142,0.819754248038601,0.8193831694328402,0.8220159058571891,0.004197405059457635,1,0.9812123921301161,0.9598277039452798,0.9705231675700835,0.9654339548034261,0.9752235827386104,0.9704441602375031,0.007437946522960793,3
1.5131922245025635,0.05602583721285384,0.00794520378112793,0.0016832434394676442,gini,30,1,2,"OrderedDict([('criterion', 'gini'), ('max_depth', 30), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.819105248947493,0.8224209462243979,0.8261724033742169,0.8207151318660764,0.8181396677138106,0.821310679625199,0.002833477294166696,2,0.984673734570082,0.9644629238235384,0.9738655474120888,0.9756801817202412,0.979912760425778,0.9757190295903456,0.0067514582420370615,2
1.5258940219879151,0.046081196978425526,0.008225345611572265,0.0016819506125716652,entropy,30,1,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 30), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.8187472529113102,0.8164143471638152,0.8272768698627813,0.8064427079744507,0.8306203500575781,0.8199003055939871,0.008531370629251595,3,0.974221313251538,0.9860837787541061,0.9854316970376604,0.9594925136253822,0.9845797459469561,0.9779618097231285,0.010204595920415662,1
1.240142822265625,0.04443917840057142,0.008784246444702149,0.002145038324113272,entropy,28,1,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 28), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.8222245514718601,0.8204623700229547,0.8219048735837057,0.8011653811030042,0.826395812562313,0.8184305977487677,0.008855790522086973,4,0.9624427944611371,0.9771457358959045,0.978717093854755,0.9499359855385916,0.9806315259592856,0.9697746271419347,0.01182793877417407,4
1.2019700527191162,0.031707037594586734,0.0070473670959472655,0.0016660191313395498,entropy,30,1,3,"OrderedDict([('criterion', 'entropy'), ('max_depth', 30), ('min_samples_leaf', 1), ('min_samples_split', 3)])",0.8155086067298476,0.8174568816424417,0.8260422376878407,0.8072807905994976,0.8251636726004679,0.818290437852019,0.0068844388235162245,5,0.9657876014457458,0.9753987262817125,0.9745019773927615,0.9523818157274664,0.9739486786010908,0.9684037598897554,0.00872251012951623,5
1.231783962249756,0.04949417204165978,0.007174825668334961,0.0014466310712068582,gini,25,1,2,"OrderedDict([('criterion', 'gini'), ('max_depth', 25), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.817303625281053,0.8192296472475329,0.8202005141347268,0.8156497035573123,0.816948086155149,0.8178663152751549,0.0016358661703758895,6,0.9631439396190238,0.9433242366187691,0.9479519122379405,0.9469953438008558,0.9541523044658291,0.9511135473484836,0.006951162229113195,6
1.4086290359497071,0.04909026231296396,0.007621383666992188,0.001107265274579121,gini,24,1,2,"OrderedDict([('criterion', 'gini'), ('max_depth', 24), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.8141770134523758,0.8156015302109287,0.8199529367179228,0.8157842551204801,0.8153793936532185,0.8161790258309851,0.0019687160115886837,7,0.9553820242004326,0.9350036093249082,0.9417173740084694,0.9383176755441713,0.946579556683254,0.9434000479522471,0.007111105583532525,7
1.244715976715088,0.04775357801860986,0.005807209014892578,0.0004243732139988444,gini,30,1,5,"OrderedDict([('criterion', 'gini'), ('max_depth', 30), ('min_samples_leaf', 1), ('min_samples_split', 5)])",0.8045303551935511,0.8148823391652299,0.8148542124103476,0.8109365536230368,0.808796212720656,0.8107999346225643,0.003910099427346376,8,0.9478283829560943,0.9301644576799535,0.9388030743759304,0.9406547338788387,0.9435203540656927,0.940194200591302,0.005866636229354538,8
1.365822696685791,0.05725442948904731,0.010393619537353516,0.0013584715890586148,entropy,28,2,5,"OrderedDict([('criterion', 'entropy'), ('max_depth', 28), ('min_samples_leaf', 2), ('min_samples_split', 5)])",0.8144453138551666,0.8098994784605426,0.8127197586420787,0.7959614562237266,0.8149621624924044,0.8095976339347839,0.0070436110430541835,9,0.9267995951721923,0.9340454619097341,0.9328523928817769,0.9155936101297487,0.9345333150950141,0.9287648750376933,0.007144394232666217,9
1.6803022384643556,0.05145025480991061,0.011787176132202148,0.0023601062828414936,entropy,22,1,2,"OrderedDict([('criterion', 'entropy'), ('max_depth', 22), ('min_samples_leaf', 1), ('min_samples_split', 2)])",0.7944369063772049,0.8072355333919967,0.8140909755427903,0.7821738765477422,0.8176455506727877,0.8031165685065045,0.013133374931620414,10,0.9037216990392682,0.9285946996183486,0.9351831042580517,0.9019789276972549,0.9496948689252724,0.9238346599076392,0.018452099083856414,10
1.1161105632781982,0.05728736786610321,0.006987714767456054,0.001444858863577214,entropy,30,1,10,"OrderedDict([('criterion', 'entropy'), ('max_depth', 30), ('min_samples_leaf', 1), ('min_samples_split', 10)])",0.7990488988623317,0.7976331755576389,0.8073409124560882,0.7919147937422608,0.8064820564317259,0.800483967410009,0.005772554729883327,11,0.9023835428388544,0.9032205272593266,0.9090759470136129,0.8917817092976302,0.9124442668599737,0.9037811986538795,0.00706170871584241,11
